Drug,Demand_Forecast,Optimal_Stock_Level,Restocking_Strategy
Metformin,7566,9618,Monthly
Insulin,8921,8135,Monthly
Atorvastatin,7516,8083,Monthly
Lisinopril,5025,10213,Quarterly
Lisinopril,2188,4939,Weekly
Atorvastatin,7141,8854,Weekly
Metformin,6969,9284,Weekly
Insulin,2286,4981,Monthly
Insulin,3989,2285,Weekly
Lisinopril,6876,9552,Quarterly
Insulin,5588,7452,Weekly
Lisinopril,7705,5943,Monthly
Lisinopril,3795,10780,Quarterly
Lisinopril,6160,3834,Quarterly
Insulin,5894,8801,Quarterly
Atorvastatin,1986,10511,Monthly
Lisinopril,2515,4176,Weekly
Lisinopril,7218,7942,Quarterly
Insulin,2657,10137,Weekly
Metformin,4479,3239,Monthly
Atorvastatin,8672,8100,Weekly
Lisinopril,9725,3584,Monthly
Lisinopril,2343,5543,Quarterly
Insulin,8590,4971,Monthly
Insulin,3681,9844,Monthly
Atorvastatin,9957,3176,Weekly
Atorvastatin,6383,7236,Quarterly
Atorvastatin,8675,6251,Monthly
Atorvastatin,7633,6291,Weekly
Metformin,5818,6115,Quarterly
Lisinopril,6337,9703,Weekly
Metformin,8590,5488,Quarterly
Metformin,8790,7843,Quarterly
Atorvastatin,8206,9001,Quarterly
Atorvastatin,1303,9835,Quarterly
Atorvastatin,2064,5254,Weekly
Atorvastatin,5426,6211,Quarterly
Lisinopril,5640,10729,Quarterly
Atorvastatin,7945,5610,Weekly
Lisinopril,6328,2728,Monthly
Atorvastatin,3262,3186,Quarterly
Metformin,1116,3134,Monthly
Metformin,2858,9397,Monthly
Lisinopril,1206,5412,Quarterly
Insulin,7501,4353,Weekly
Insulin,1451,1692,Quarterly
Metformin,1193,6700,Quarterly
Lisinopril,7625,1886,Quarterly
Metformin,3726,8379,Weekly
Metformin,9799,8283,Weekly
Metformin,5012,4686,Monthly
Insulin,2990,6783,Weekly
Metformin,3781,2727,Weekly
Metformin,5861,5188,Weekly
Atorvastatin,3343,2782,Weekly
Metformin,1919,2418,Monthly
Atorvastatin,4544,7584,Weekly
Insulin,3998,9254,Weekly
Insulin,7228,9352,Weekly
Insulin,5980,10578,Weekly
Metformin,7155,2038,Weekly
Metformin,6719,9062,Quarterly
Lisinopril,5473,8627,Monthly
Lisinopril,6943,2380,Quarterly
Metformin,6905,2266,Quarterly
Metformin,6984,7274,Weekly
Atorvastatin,4948,5663,Weekly
Atorvastatin,7202,8805,Quarterly
Lisinopril,9560,7819,Quarterly
Insulin,5538,1507,Quarterly
Insulin,4127,9831,Quarterly
Lisinopril,1532,9762,Quarterly
Atorvastatin,6074,9644,Monthly
Insulin,9503,2916,Monthly
Metformin,1347,4142,Monthly
Atorvastatin,8146,7356,Quarterly
Lisinopril,7674,8681,Weekly
Atorvastatin,9564,2882,Monthly
Insulin,9171,5588,Quarterly
Insulin,2419,4847,Monthly
Lisinopril,9213,2380,Quarterly
Atorvastatin,6435,6574,Quarterly
Metformin,4411,8864,Monthly
Lisinopril,6797,5287,Weekly
Lisinopril,8851,8262,Weekly
Atorvastatin,4323,3959,Monthly
Lisinopril,3291,4869,Monthly
Metformin,8981,4161,Monthly
Atorvastatin,1063,4848,Monthly
Atorvastatin,8005,8167,Monthly
Insulin,5608,10218,Quarterly
Insulin,4538,8945,Monthly
Lisinopril,5618,8366,Quarterly
Insulin,4174,2921,Monthly
Metformin,9549,3482,Weekly
Insulin,1338,9571,Monthly
Atorvastatin,5984,4827,Weekly
Metformin,5043,7953,Quarterly
Lisinopril,1446,6234,Monthly
Lisinopril,3948,4886,Monthly
Atorvastatin,3915,6894,Quarterly
Metformin,8210,4312,Quarterly
Metformin,7226,3348,Quarterly
Insulin,5319,4739,Monthly
Insulin,5522,10255,Quarterly
Metformin,7387,5072,Weekly
Atorvastatin,5713,5536,Monthly
Lisinopril,2323,9578,Weekly
Atorvastatin,6275,7229,Quarterly
Atorvastatin,4244,5336,Monthly
Insulin,8178,1901,Weekly
Lisinopril,4809,5216,Weekly
Insulin,8383,5187,Quarterly
Insulin,5345,7029,Monthly
Lisinopril,1693,8757,Quarterly
Lisinopril,5090,7566,Quarterly
Insulin,7784,7810,Weekly
Atorvastatin,3966,9501,Quarterly
Lisinopril,4558,7565,Quarterly
Lisinopril,3718,3441,Quarterly
Insulin,3296,7013,Monthly
Atorvastatin,2706,2801,Weekly
Insulin,2276,10642,Monthly
Insulin,1963,2816,Weekly
Insulin,1982,8435,Weekly
Lisinopril,8294,2395,Weekly
Insulin,4113,4261,Monthly
Insulin,6123,8459,Weekly
Atorvastatin,3643,6386,Weekly
Metformin,3362,4844,Monthly
Insulin,2295,9118,Quarterly
Metformin,7658,5796,Weekly
Insulin,7988,9607,Quarterly
Metformin,5242,6470,Monthly
Insulin,9058,3211,Quarterly
Insulin,9832,4848,Weekly
Lisinopril,2348,3114,Monthly
Lisinopril,8818,10666,Weekly
Metformin,6561,3999,Quarterly
Atorvastatin,8215,8324,Weekly
Metformin,8813,6291,Quarterly
Atorvastatin,2749,3612,Monthly
Insulin,6236,5655,Monthly
Metformin,4653,9492,Quarterly
Metformin,8264,4657,Quarterly
Insulin,9747,5334,Quarterly
Atorvastatin,4875,1632,Quarterly
Atorvastatin,3274,8282,Weekly
Lisinopril,9802,7623,Quarterly
Atorvastatin,2269,10750,Monthly
Lisinopril,7506,7000,Weekly
Metformin,7272,7608,Weekly
Insulin,6139,8170,Weekly
Insulin,9061,8430,Quarterly
Lisinopril,8021,2939,Quarterly
Atorvastatin,1624,3239,Monthly
Insulin,2706,3812,Monthly
Insulin,7870,6249,Monthly
Metformin,8975,7713,Quarterly
Lisinopril,3198,5628,Monthly
Insulin,9287,7177,Weekly
Lisinopril,8358,10411,Weekly
Metformin,5627,5834,Monthly
Insulin,9223,6421,Weekly
Lisinopril,2180,4593,Quarterly
Metformin,4446,6871,Monthly
Insulin,4814,2353,Quarterly
Insulin,5943,2557,Quarterly
Insulin,9175,6194,Monthly
Insulin,2257,4934,Monthly
Insulin,2198,10030,Monthly
Lisinopril,1664,4125,Weekly
Atorvastatin,2871,6564,Quarterly
Insulin,2512,10083,Monthly
Insulin,3672,5348,Quarterly
Atorvastatin,8842,6463,Quarterly
Atorvastatin,7191,10972,Quarterly
Insulin,8338,3334,Monthly
Metformin,4822,3905,Weekly
Insulin,7495,7454,Quarterly
Atorvastatin,1094,9156,Weekly
Insulin,7967,10161,Weekly
Lisinopril,7948,6090,Weekly
Insulin,8712,5243,Quarterly
Metformin,2291,9787,Weekly
Lisinopril,9640,3124,Weekly
Lisinopril,2698,2032,Quarterly
Insulin,5268,4826,Monthly
Insulin,9502,5863,Monthly
Insulin,9089,3771,Weekly
Lisinopril,4439,10148,Quarterly
Metformin,1766,8692,Monthly
Metformin,6094,10666,Weekly
Insulin,8813,9516,Quarterly
Atorvastatin,6446,10558,Weekly
Insulin,1029,10716,Weekly
Metformin,7399,9549,Weekly
Insulin,3793,10480,Monthly
Atorvastatin,9746,5008,Monthly
Metformin,9563,4696,Monthly
Atorvastatin,1765,9142,Monthly
Lisinopril,5066,2249,Quarterly
Lisinopril,1367,4880,Quarterly
Insulin,3736,3239,Quarterly
Metformin,1657,5275,Monthly
Insulin,2962,9722,Quarterly
Lisinopril,6535,4576,Monthly
Metformin,8043,7503,Weekly
Insulin,1455,10514,Quarterly
Lisinopril,5513,9567,Weekly
Atorvastatin,5240,6846,Monthly
Insulin,4533,8578,Monthly
Metformin,6537,7876,Quarterly
Lisinopril,9997,9389,Quarterly
Atorvastatin,5617,6994,Quarterly
Lisinopril,5055,9661,Quarterly
Atorvastatin,6790,9424,Weekly
Lisinopril,4117,4269,Quarterly
Metformin,3223,6802,Quarterly
Insulin,5707,5671,Quarterly
Lisinopril,7047,7939,Weekly
Insulin,6395,8328,Weekly
Lisinopril,2809,7487,Weekly
Metformin,8188,3670,Quarterly
Lisinopril,3797,6167,Quarterly
Metformin,4165,10802,Quarterly
Atorvastatin,8432,2184,Quarterly
Atorvastatin,4702,4288,Monthly
Insulin,9667,5678,Quarterly
Lisinopril,3804,8864,Monthly
Atorvastatin,9602,10173,Quarterly
Lisinopril,4088,5527,Monthly
Lisinopril,4230,7462,Weekly
Insulin,3735,10786,Weekly
Metformin,6724,5121,Quarterly
Lisinopril,2124,7543,Weekly
Lisinopril,5234,9128,Monthly
Metformin,4399,10387,Weekly
Metformin,6361,2587,Quarterly
Lisinopril,6627,4100,Quarterly
Atorvastatin,9925,5314,Quarterly
Lisinopril,1944,9291,Weekly
Insulin,2767,1736,Quarterly
Insulin,1739,4751,Monthly
Atorvastatin,7550,1769,Monthly
Metformin,8247,2669,Monthly
Lisinopril,5687,3893,Quarterly
Metformin,2146,3831,Monthly
Lisinopril,4163,1861,Quarterly
Insulin,3031,9857,Monthly
Atorvastatin,1530,8074,Weekly
Insulin,2924,10298,Weekly
Insulin,3371,8950,Monthly
Metformin,3733,5344,Quarterly
Metformin,1772,9819,Weekly
Atorvastatin,1293,6731,Monthly
Lisinopril,7042,8682,Quarterly
Insulin,5250,9096,Quarterly
Atorvastatin,6442,1876,Quarterly
Atorvastatin,3332,7149,Monthly
Lisinopril,8710,5829,Monthly
Atorvastatin,5230,8754,Quarterly
Lisinopril,2862,4675,Quarterly
Atorvastatin,8449,4543,Monthly
Insulin,1556,8555,Monthly
Lisinopril,6711,6053,Monthly
Lisinopril,5017,8247,Monthly
Lisinopril,4384,9089,Monthly
Atorvastatin,8293,8289,Weekly
Metformin,7676,7226,Monthly
Insulin,5141,4139,Quarterly
Atorvastatin,9985,1880,Weekly
Lisinopril,1429,3055,Monthly
Atorvastatin,1115,3005,Weekly
Insulin,3720,3501,Monthly
Atorvastatin,8366,2553,Weekly
Atorvastatin,6220,2678,Weekly
Atorvastatin,1385,6620,Quarterly
Lisinopril,4193,2098,Weekly
Insulin,5978,9614,Monthly
Metformin,8909,4983,Monthly
Atorvastatin,2515,8422,Monthly
Atorvastatin,8460,10604,Quarterly
Metformin,4536,6681,Weekly
Atorvastatin,8241,10843,Quarterly
Insulin,7640,10850,Monthly
Atorvastatin,2446,10258,Monthly
Atorvastatin,2947,8651,Monthly
Atorvastatin,7730,8498,Monthly
Insulin,1074,4133,Monthly
Atorvastatin,5505,10296,Monthly
Atorvastatin,8323,7212,Weekly
Insulin,7273,2482,Weekly
Insulin,6443,2486,Monthly
Insulin,9812,4800,Monthly
Atorvastatin,7605,4752,Weekly
Atorvastatin,8176,10723,Quarterly
Metformin,9541,7454,Monthly
Atorvastatin,9880,2891,Weekly
Lisinopril,5829,5941,Weekly
Metformin,5996,10928,Quarterly
Lisinopril,5335,7587,Monthly
Lisinopril,8249,4931,Weekly
Insulin,7823,2094,Weekly
Lisinopril,2872,5471,Monthly
Insulin,1331,7354,Weekly
Atorvastatin,4849,3104,Weekly
Metformin,1343,7027,Monthly
Insulin,7862,5614,Quarterly
Metformin,8525,1906,Quarterly
Insulin,6275,5646,Weekly
Lisinopril,7838,10913,Weekly
Insulin,3205,5967,Monthly
Lisinopril,7552,5119,Weekly
Lisinopril,4190,6254,Quarterly
Lisinopril,7088,3420,Monthly
Lisinopril,2764,2193,Monthly
Metformin,7506,7093,Quarterly
Lisinopril,1986,2433,Quarterly
Insulin,2527,10952,Quarterly
Metformin,5162,2309,Weekly
Metformin,5203,3830,Monthly
Insulin,2026,5534,Quarterly
Insulin,6977,5593,Monthly
Lisinopril,5379,7667,Monthly
Atorvastatin,7815,9200,Weekly
Insulin,9115,7046,Weekly
Insulin,4685,7076,Weekly
Metformin,5033,6903,Weekly
Insulin,4553,4335,Weekly
Atorvastatin,3956,7159,Weekly
Insulin,3958,7941,Weekly
Insulin,3668,9071,Weekly
Atorvastatin,2409,7934,Quarterly
Insulin,6816,7492,Quarterly
Metformin,5296,1522,Quarterly
Lisinopril,8126,6325,Monthly
Atorvastatin,3820,6442,Weekly
Lisinopril,6481,4355,Monthly
Lisinopril,6793,3134,Monthly
Lisinopril,6800,5561,Monthly
Metformin,7757,5508,Weekly
Lisinopril,8387,6923,Quarterly
Insulin,7601,8025,Quarterly
Insulin,1114,10680,Monthly
Atorvastatin,4906,4223,Weekly
Metformin,7072,4900,Monthly
Insulin,8933,9635,Monthly
Insulin,7298,1806,Monthly
Insulin,7384,2783,Monthly
Atorvastatin,2265,3228,Weekly
Lisinopril,8183,4646,Weekly
Lisinopril,5082,9986,Monthly
Insulin,1761,10599,Weekly
Metformin,7054,7897,Monthly
Atorvastatin,5581,8620,Weekly
Lisinopril,9560,9002,Quarterly
Lisinopril,6333,5686,Quarterly
Lisinopril,6322,7514,Monthly
Atorvastatin,2023,7742,Weekly
Lisinopril,4839,6398,Weekly
Metformin,7871,7168,Monthly
Metformin,4523,4127,Monthly
Insulin,7325,3898,Quarterly
Insulin,4716,7087,Monthly
Insulin,5935,10832,Monthly
Insulin,6733,3312,Quarterly
Metformin,6883,3888,Weekly
Metformin,9566,5934,Monthly
Metformin,4517,10269,Monthly
Metformin,5213,5373,Weekly
Lisinopril,6618,3877,Quarterly
Lisinopril,3338,5498,Weekly
Lisinopril,5009,5493,Monthly
Insulin,7058,9971,Weekly
Metformin,8547,10845,Monthly
Metformin,8773,2046,Weekly
Metformin,4928,7294,Quarterly
Metformin,9142,2966,Quarterly
Lisinopril,8572,3575,Quarterly
Metformin,1939,2305,Monthly
Lisinopril,1062,9822,Weekly
Atorvastatin,3487,7060,Monthly
Lisinopril,5999,10555,Weekly
Metformin,8729,9348,Monthly
Lisinopril,9653,1506,Weekly
Insulin,4756,5045,Weekly
Atorvastatin,6305,1792,Quarterly
Insulin,2111,10288,Monthly
Metformin,8819,3400,Monthly
Atorvastatin,9433,10142,Quarterly
Atorvastatin,2650,7884,Monthly
Atorvastatin,9278,9524,Monthly
Atorvastatin,5629,2453,Weekly
Atorvastatin,4083,4457,Monthly
Insulin,9340,4014,Quarterly
Atorvastatin,4201,2859,Monthly
Atorvastatin,1266,2366,Weekly
Lisinopril,1633,4246,Monthly
Insulin,6791,2716,Quarterly
Atorvastatin,2191,8857,Quarterly
Atorvastatin,4862,5621,Monthly
Metformin,4057,5028,Quarterly
Insulin,8932,6198,Weekly
Metformin,4134,4765,Quarterly
Metformin,1008,3873,Quarterly
Lisinopril,9227,3565,Weekly
Metformin,3073,8156,Quarterly
Metformin,5802,2891,Weekly
Metformin,9303,3119,Monthly
Insulin,8504,9203,Quarterly
Lisinopril,2504,10211,Quarterly
Insulin,6105,9093,Weekly
Metformin,5216,6947,Weekly
Metformin,2876,2560,Monthly
Lisinopril,6041,7621,Weekly
Metformin,2194,10111,Quarterly
Metformin,5560,4265,Quarterly
Atorvastatin,1604,10339,Quarterly
Metformin,5083,6895,Weekly
Atorvastatin,6841,4958,Weekly
Metformin,3122,2646,Quarterly
Lisinopril,8202,4468,Monthly
Atorvastatin,8100,9244,Quarterly
Insulin,7411,9183,Monthly
Lisinopril,6375,6838,Weekly
Metformin,5255,6952,Quarterly
Atorvastatin,6827,2540,Monthly
Atorvastatin,8706,10077,Weekly
Metformin,5041,9925,Weekly
Insulin,4632,1743,Monthly
Insulin,4523,4288,Monthly
Atorvastatin,6210,1709,Weekly
Metformin,8161,1800,Quarterly
Metformin,4344,9235,Weekly
Lisinopril,3489,3731,Quarterly
Atorvastatin,2841,8198,Weekly
Metformin,3600,5454,Monthly
Insulin,4761,5846,Weekly
Metformin,8058,6064,Weekly
Atorvastatin,2936,7203,Quarterly
Atorvastatin,7906,3915,Weekly
Metformin,4235,3903,Weekly
Metformin,9320,3903,Quarterly
Atorvastatin,4544,9251,Weekly
Atorvastatin,7968,2990,Quarterly
Lisinopril,8449,7611,Quarterly
Lisinopril,7905,4801,Monthly
Atorvastatin,1522,10664,Quarterly
Atorvastatin,1728,3304,Monthly
Lisinopril,9192,1688,Monthly
Metformin,1458,7281,Monthly
Atorvastatin,3219,7293,Weekly
Metformin,9078,4837,Monthly
Atorvastatin,1405,2443,Weekly
Insulin,6633,8619,Quarterly
Metformin,6456,10958,Quarterly
Metformin,8289,10504,Monthly
Metformin,6035,8833,Weekly
Metformin,1127,9442,Monthly
Lisinopril,8516,4793,Weekly
Insulin,1367,4441,Weekly
Lisinopril,6605,3496,Monthly
Lisinopril,4031,3229,Quarterly
Insulin,4904,7462,Monthly
Metformin,6183,10823,Weekly
Lisinopril,7462,7299,Quarterly
Insulin,8349,5525,Weekly
Insulin,2447,4130,Monthly
Atorvastatin,8191,5021,Quarterly
Lisinopril,3514,9215,Quarterly
Atorvastatin,5162,4513,Quarterly
Lisinopril,5087,6412,Quarterly
Atorvastatin,6136,6093,Weekly
Metformin,3751,3959,Weekly
Atorvastatin,2091,7098,Weekly
Lisinopril,1867,3380,Weekly
Insulin,6645,3022,Weekly
Insulin,5909,4695,Monthly
Insulin,8083,3675,Quarterly
Atorvastatin,9259,9450,Quarterly
Lisinopril,9097,10972,Quarterly
Metformin,9583,5140,Monthly
Metformin,5464,4669,Quarterly
Insulin,6638,10914,Quarterly
Insulin,8028,9510,Quarterly
Metformin,2291,6670,Quarterly
Atorvastatin,5613,4054,Weekly
Insulin,9079,8131,Weekly
Lisinopril,9757,10448,Weekly
Metformin,9161,7520,Monthly
Lisinopril,2218,3494,Monthly
Lisinopril,6170,9246,Weekly
Atorvastatin,2108,10575,Monthly
Insulin,2774,10542,Weekly
Atorvastatin,1040,8919,Monthly
Metformin,9211,1687,Quarterly
Lisinopril,9758,3113,Monthly
Atorvastatin,6515,2356,Monthly
Insulin,6660,1904,Monthly
Metformin,3556,7907,Quarterly
Atorvastatin,6313,7424,Quarterly
Metformin,9647,7495,Weekly
Insulin,1557,4910,Monthly
Atorvastatin,8093,6711,Quarterly
Atorvastatin,2016,2305,Monthly
Metformin,8858,8354,Quarterly
Insulin,6543,5964,Monthly
Atorvastatin,5425,6770,Quarterly
Metformin,3781,4182,Monthly
Metformin,9034,7272,Weekly
Atorvastatin,4722,7037,Weekly
Atorvastatin,6863,4728,Quarterly
Metformin,9848,10248,Monthly
Insulin,1904,4047,Quarterly
Lisinopril,5406,9372,Quarterly
Atorvastatin,1858,10247,Weekly
Insulin,3840,3194,Quarterly
Lisinopril,2579,5512,Weekly
Metformin,5220,10696,Weekly
Insulin,5313,1567,Weekly
Metformin,7079,7418,Monthly
Atorvastatin,3263,9796,Monthly
Lisinopril,7264,10634,Quarterly
Metformin,8579,5811,Quarterly
Insulin,1379,8963,Monthly
Lisinopril,3037,5526,Monthly
Lisinopril,2758,2491,Weekly
Metformin,7978,3102,Weekly
Atorvastatin,6545,6840,Weekly
Insulin,8166,6604,Monthly
Metformin,5951,10274,Quarterly
Metformin,7975,9947,Quarterly
Lisinopril,4588,6810,Quarterly
Insulin,2119,9352,Monthly
Metformin,1535,10926,Weekly
Lisinopril,9994,10048,Monthly
Insulin,2016,8676,Monthly
Atorvastatin,4095,10518,Weekly
Lisinopril,5376,2146,Quarterly
Metformin,7493,9954,Quarterly
Insulin,8962,8207,Quarterly
Insulin,5685,3922,Monthly
Metformin,9102,4709,Monthly
Insulin,9734,7244,Monthly
Insulin,6959,2756,Monthly
Metformin,6678,4289,Monthly
Insulin,3988,4359,Quarterly
Insulin,3986,5836,Weekly
Insulin,9968,7000,Weekly
Lisinopril,4073,3187,Monthly
Insulin,2235,3338,Monthly
Atorvastatin,8148,3093,Monthly
Lisinopril,4024,9262,Monthly
Insulin,2087,9028,Weekly
Metformin,3089,8821,Weekly
Lisinopril,2416,2497,Quarterly
Insulin,3379,5967,Quarterly
Atorvastatin,2952,2707,Quarterly
Metformin,7996,10414,Weekly
Atorvastatin,4687,8922,Monthly
Metformin,4895,6457,Monthly
Metformin,1024,3582,Monthly
Metformin,9287,3936,Quarterly
Insulin,3841,7752,Monthly
Lisinopril,6318,9274,Weekly
Insulin,7346,8259,Weekly
Insulin,1500,7232,Quarterly
Metformin,4969,6166,Weekly
Metformin,1621,8582,Monthly
Insulin,7269,7872,Weekly
Atorvastatin,5287,8311,Quarterly
Insulin,4877,3522,Quarterly
Lisinopril,3457,10635,Quarterly
Lisinopril,9379,1932,Monthly
Atorvastatin,7094,7979,Quarterly
Lisinopril,5582,5035,Quarterly
Lisinopril,8627,1817,Weekly
Insulin,4329,6899,Monthly
Metformin,5686,4238,Quarterly
Atorvastatin,2601,5869,Monthly
Lisinopril,5944,7189,Weekly
Metformin,7009,8316,Weekly
Metformin,2038,4969,Monthly
Insulin,1011,4161,Weekly
Metformin,6031,5535,Weekly
Atorvastatin,3870,2060,Weekly
Metformin,8405,7180,Weekly
Lisinopril,2493,9265,Monthly
Atorvastatin,7913,2064,Quarterly
Metformin,5470,4691,Quarterly
Lisinopril,3199,3151,Quarterly
Metformin,9434,4771,Quarterly
Lisinopril,9956,9508,Quarterly
Atorvastatin,1700,10405,Quarterly
Metformin,1880,7304,Monthly
Lisinopril,4229,6965,Weekly
Lisinopril,5977,3078,Quarterly
Metformin,2533,3380,Quarterly
Atorvastatin,9905,2974,Monthly
Lisinopril,5469,3197,Weekly
Insulin,6474,5362,Monthly
Metformin,1786,3080,Weekly
Insulin,5934,6707,Monthly
Atorvastatin,5891,7847,Monthly
Metformin,3327,3048,Weekly
Atorvastatin,3362,9433,Monthly
Metformin,8971,3449,Monthly
Metformin,1632,4222,Weekly
Insulin,8703,8731,Weekly
Lisinopril,6617,6454,Quarterly
Insulin,4140,1581,Weekly
Lisinopril,1454,8469,Monthly
Insulin,3889,2013,Quarterly
Metformin,1669,10116,Weekly
Insulin,6422,6348,Quarterly
Atorvastatin,8789,6165,Monthly
Lisinopril,8716,5710,Quarterly
Metformin,5671,3959,Weekly
Metformin,3907,8134,Monthly
Lisinopril,6192,6357,Quarterly
Insulin,1378,5162,Monthly
Lisinopril,6548,4165,Quarterly
Metformin,6772,8241,Weekly
Metformin,5535,2408,Monthly
Insulin,4187,8611,Monthly
Insulin,3658,2310,Monthly
Metformin,4673,1519,Quarterly
Atorvastatin,6706,8906,Quarterly
Metformin,6972,1792,Quarterly
Lisinopril,4459,3894,Quarterly
Metformin,4814,7426,Quarterly
Atorvastatin,5576,3984,Monthly
Metformin,4570,5853,Monthly
Lisinopril,6354,6795,Monthly
Atorvastatin,7460,6094,Quarterly
Atorvastatin,8193,4669,Quarterly
Lisinopril,2560,3772,Monthly
Lisinopril,9200,4831,Quarterly
Atorvastatin,3141,3535,Monthly
Insulin,6847,5918,Monthly
Metformin,9244,8639,Quarterly
Lisinopril,3093,3511,Weekly
Metformin,7350,8985,Quarterly
Lisinopril,1152,4196,Quarterly
Metformin,2644,6766,Monthly
Metformin,4862,9733,Quarterly
Lisinopril,1830,7879,Weekly
Lisinopril,4366,7474,Weekly
Lisinopril,1948,9603,Monthly
Lisinopril,5907,10482,Monthly
Insulin,4822,4879,Monthly
Metformin,4947,2844,Monthly
Lisinopril,7252,6118,Monthly
Insulin,8326,3592,Weekly
Metformin,4912,10391,Quarterly
Insulin,8117,5722,Weekly
Metformin,6201,4292,Quarterly
Atorvastatin,2618,3566,Weekly
Insulin,1548,6664,Monthly
Atorvastatin,8802,9749,Weekly
Atorvastatin,6122,4184,Quarterly
Lisinopril,5277,10216,Weekly
Atorvastatin,2659,3184,Monthly
Insulin,8939,10328,Weekly
Insulin,5069,2785,Weekly
Metformin,4923,9947,Monthly
Metformin,6261,1948,Weekly
Metformin,3526,7221,Weekly
Metformin,5962,2503,Weekly
Lisinopril,1724,2456,Quarterly
Atorvastatin,1083,9822,Quarterly
Insulin,6145,6441,Monthly
Insulin,3482,8822,Monthly
Insulin,7650,3761,Monthly
Insulin,8909,6668,Monthly
Metformin,3641,8573,Weekly
Lisinopril,3472,5506,Quarterly
Metformin,3087,2758,Weekly
Insulin,4779,9204,Monthly
Lisinopril,3074,6741,Monthly
Metformin,1613,8787,Monthly
Atorvastatin,1520,1702,Quarterly
Insulin,7744,9008,Monthly
Metformin,8631,6726,Weekly
Insulin,8182,7295,Weekly
Metformin,7591,2135,Weekly
Insulin,3040,3459,Quarterly
Atorvastatin,5375,2459,Monthly
Metformin,1983,10286,Weekly
Atorvastatin,5881,5460,Weekly
Insulin,7074,7189,Weekly
Insulin,6089,6287,Monthly
Lisinopril,7556,4299,Quarterly
Insulin,5198,4534,Quarterly
Lisinopril,7411,9493,Quarterly
Atorvastatin,7087,8599,Weekly
Insulin,9624,4863,Weekly
Metformin,1232,9389,Quarterly
Insulin,6033,4727,Monthly
Metformin,4381,8862,Quarterly
Insulin,3405,9195,Monthly
Atorvastatin,6125,7121,Monthly
Atorvastatin,3232,4058,Monthly
Metformin,1564,3570,Weekly
Insulin,4877,6081,Weekly
Insulin,7470,10947,Quarterly
Metformin,3610,2241,Quarterly
Atorvastatin,4252,7671,Quarterly
Insulin,3401,8812,Quarterly
Lisinopril,4563,7032,Quarterly
Insulin,4685,7124,Monthly
Atorvastatin,4818,6643,Weekly
Atorvastatin,7575,2216,Quarterly
Insulin,5917,2384,Monthly
Metformin,8392,3440,Monthly
Atorvastatin,3511,4287,Monthly
Atorvastatin,4934,9722,Quarterly
Atorvastatin,3821,2214,Weekly
Lisinopril,7991,8889,Quarterly
Insulin,1824,3300,Monthly
Insulin,5058,7503,Monthly
Atorvastatin,5476,10328,Monthly
Atorvastatin,5274,7517,Monthly
Metformin,2933,2430,Monthly
Lisinopril,9823,4895,Quarterly
Atorvastatin,1594,3362,Quarterly
Metformin,6120,3141,Monthly
Atorvastatin,6963,3792,Weekly
Insulin,3256,7497,Weekly
Lisinopril,2111,2895,Weekly
Insulin,2760,2173,Quarterly
Lisinopril,9279,10743,Weekly
Atorvastatin,9653,9318,Quarterly
Atorvastatin,7971,4967,Monthly
Lisinopril,8434,4293,Weekly
Insulin,9991,10665,Weekly
Metformin,5153,10729,Monthly
Atorvastatin,7228,4300,Monthly
Insulin,3916,10760,Quarterly
Metformin,3082,3072,Quarterly
Lisinopril,8298,3719,Monthly
Atorvastatin,4720,6496,Quarterly
Insulin,5917,8822,Monthly
Lisinopril,9938,3442,Weekly
Metformin,8807,8376,Quarterly
Insulin,5471,9629,Weekly
Lisinopril,4068,4676,Monthly
Atorvastatin,4869,10783,Monthly
Metformin,5852,4821,Monthly
Insulin,7124,8576,Quarterly
Atorvastatin,2025,5983,Weekly
Metformin,6409,2644,Quarterly
Lisinopril,5427,10570,Quarterly
Metformin,8851,9863,Quarterly
Lisinopril,4661,4759,Quarterly
Lisinopril,4671,2180,Monthly
Lisinopril,9123,7782,Weekly
Insulin,5993,7537,Weekly
Lisinopril,2080,2299,Weekly
Insulin,6031,3479,Quarterly
Atorvastatin,9689,9476,Quarterly
Insulin,5034,9687,Monthly
Lisinopril,2166,4183,Quarterly
Atorvastatin,1803,5473,Quarterly
Atorvastatin,7465,5594,Weekly
Metformin,3139,6673,Monthly
Metformin,5204,6068,Monthly
Insulin,3180,1941,Monthly
Lisinopril,4960,7818,Quarterly
Metformin,7151,6702,Quarterly
Metformin,6605,8444,Quarterly
Atorvastatin,9803,8694,Quarterly
Insulin,5087,5332,Monthly
Lisinopril,4881,4434,Quarterly
Metformin,6593,9452,Quarterly
Insulin,8882,2538,Quarterly
Metformin,3194,10955,Quarterly
Lisinopril,8254,9086,Weekly
Metformin,4315,7654,Weekly
Lisinopril,7152,6228,Monthly
Atorvastatin,4073,6404,Monthly
Atorvastatin,9241,2507,Weekly
Insulin,6230,7920,Weekly
Lisinopril,7701,8709,Quarterly
Insulin,3337,5538,Monthly
Insulin,9218,4845,Quarterly
Lisinopril,5747,7757,Quarterly
Lisinopril,9598,9896,Quarterly
Insulin,5838,5765,Weekly
Lisinopril,2565,8976,Monthly
Lisinopril,1612,6055,Monthly
Metformin,2518,8765,Weekly
Lisinopril,2554,8230,Quarterly
Atorvastatin,5708,7490,Weekly
Metformin,9650,10465,Weekly
